"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"T2-01";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"L'information ressource";"1";"1";"Donnée, Information, Connaissance";"Général";"Définir et distinguer : Donnée, Information, Connaissance.";"donnée | information | connaissance | traitement";"Donnée : Un élément brut, un chiffre, un fait sans contexte (ex: ""39""). Information : Une donnée traitée et replacée dans son contexte qui prend du sens (ex: ""Le patient a 39°C de fièvre""). Connaissance : L'appropriation de l'information par un individu, combinée à son expérience, permettant de prendre une décision ou d'agir (ex: ""Le médecin sait que 39°C indique une infection et prescrit un traitement"").";"10"
"T2-02";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"L'information ressource";"2";"1";"Données à caractère personnel";"Général";"Qu'est-ce qu'une donnée à caractère personnel et quel texte la protège en Europe ?";"donnée personnelle | RGPD | protection | confidentialité";"C'est toute information se rapportant à une personne physique identifiée ou identifiable (nom, photo, adresse IP, numéro de sécurité sociale). En Europe, ces données sont protégées par le RGPD (Règlement Général sur la Protection des Données), qui impose aux organisations d'obtenir le consentement, de sécuriser les données et de garantir le droit à l'oubli.";"10"
"T2-03";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"Système d'information";"3";"1";"Système d'information (PGI/ERP)";"Général";"Expliquer ce qu'est un PGI (Progiciel de Gestion Intégré) ou ERP.";"PGI | ERP | base de données | unicité";"Un PGI est un système informatique unique (une grande base de données centralisée) qui permet de gérer l'ensemble des processus opérationnels d'une entreprise (ressources humaines, comptabilité, ventes, stocks). Il garantit l'unicité de l'information : une donnée saisie une fois met à jour tous les modules en temps réel.";"10"
"T2-04";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"Le travail collaboratif";"4";"1";"Intelligence collective";"Général";"Que signifie l'expression ""Intelligence Collective"" ?";"intelligence collective | collaboration | synergie | numérique";"C'est la capacité d'un groupe d'individus à résoudre des problèmes complexes et à innover, grâce à la collaboration, au partage des connaissances et aux interactions, souvent facilitées par les outils numériques. Le résultat du groupe est supérieur à la simple somme des intelligences individuelles (1+1=3).";"10"
"T2-05";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"Le travail collaboratif";"5";"1";"Cloud Computing";"Général";"Définir le ""Cloud Computing"" (l'informatique en nuage).";"cloud computing | serveurs | partage | externalisation";"C'est un modèle informatique permettant un accès via Internet (à la demande) à un ensemble partagé de ressources informatiques (serveurs, stockage, applications) hébergées sur des serveurs distants (data centers), plutôt que sur le disque dur local de l'utilisateur.";"10"
"T2-06";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"L'information ressource";"6";"3";"Transformation de l'information";"La boutique en ligne ""SneakPeak"" enregistre que 45% des visiteurs cliquent sur un modèle précis de baskets rouges, mais que seulement 2% l'achètent. Le gestionnaire décide alors de baisser le prix de ce modèle de 10%.";"Retracez le passage de la donnée à l'action.";"donnée brute | analyse | décision | conversion";"Données brutes : Nombre de clics, nombre d'achats. Information : Taux d'abandon panier extrêmement élevé sur le modèle de baskets rouges. Connaissance/Analyse : Le gestionnaire comprend (grâce à son expérience du marché) que le produit attire (bon design) mais que le prix constitue un frein à l'achat. Action : Prise de décision de gestion : baisse stratégique du prix de 10% pour convertir l'intérêt en ventes.";"30"
"T2-07";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"Système d'information";"7";"3";"Automatisation et processus";"Chez le fabricant ""MecaPro"", la validation d'une commande client prenait 3 jours (transferts papier entre commercial, stock et compta). L'implantation d'un PGI a automatisé ce processus.";"Quels sont les effets immédiats de cette automatisation ?";"automatisation | processus | PGI | agilité | rigidité";"L'automatisation fluidifie le processus. Les effets sont : gain de temps considérable (de 3 jours à quelques secondes), réduction des erreurs de saisie (plus de recopies manuelles), diminution des coûts administratifs, et agilité accrue (la production peut démarrer immédiatement après le clic du commercial). Cependant, le rôle des employés administratifs est rigidifié par la procédure imposée par le logiciel.";"30"
"T2-08";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"L'information ressource";"8";"3";"Cas RGPD";"L'application mobile ""FitRun"" géolocalise ses utilisateurs 24h/24 pour ""améliorer le service"", et revend ces historiques de déplacements à des sociétés publicitaires sans en informer clairement les utilisateurs.";"Identifiez les failles juridiques et éthiques.";"RGPD | consentement | transparence | sanction";"L'entreprise enfreint le RGPD sur plusieurs points : défaut de consentement explicite et éclairé pour la revente, manque de transparence (finalité cachée), et non-respect du principe de minimisation (géolocaliser 24h/24 n'est pas nécessaire pour une simple application de course à pied). Le risque est une lourde sanction financière par la CNIL et une destruction de la réputation de l'entreprise (perte de confiance client).";"30"
"T2-09";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"Le travail collaboratif";"9";"5";"Cas d'entreprise ""ArchiConcept""";"Ce cabinet d'architectes réunit 50 collaborateurs répartis sur 3 sites. Pour améliorer la coordination, la direction impose un Réseau Social d'Entreprise (RSE) et le basculement de tous les dossiers sur le Cloud. Un an plus tard, on constate une accélération des projets, mais certains architectes seniors se plaignent d'une surcharge d'informations, d'un contrôle permanent et refusent d'utiliser la plateforme.";"À partir de ce constat, analysez si le numérique crée de l'agilité ou de la rigidité organisationnelle.";"agilité | rigidité | RSE | infobésité | résistance au changement";"L'agilité créée par le numérique : L'usage du Cloud et du RSE chez ""ArchiConcept"" dématérialise les frontières physiques. Le partage d'information en temps réel permet le travail collaboratif à distance, accélérant le processus de conception des projets. L'entreprise devient agile, capable de réagir rapidement aux demandes clients grâce à l'intelligence collective mobilisée sur le RSE.
La rigidité et les risques générés : Cependant, l'outil impose sa propre logique. L'hyper-connexion génère une surcharge cognitive (infobésité) pour les salariés. Le partage total peut être perçu comme un outil de flicage et de contrôle managérial permanent (rigidité sociale). De plus, l'exclusion numérique (fracture numérique) de certains seniors montre que la technologie seule ne suffit pas : sans accompagnement humain ni formation, l'outil se heurte à des résistances au changement qui bloquent le fonctionnement de l'organisation.
Conclusion : Le numérique est un paradoxe : il fluidifie les processus techniques (agilité) mais peut rigidifier les relations humaines et le cadre de travail s'il est imposé de manière technocentrée sans prendre en compte la sociologie des acteurs.";"50"
"T2-10";"premiere";"sciences de gestion";"Thème 2 : Numérique et intelligence collective";"L'information ressource";"10";"5";"Question de réflexion (Open Data)";"Général";"En quoi l'ouverture des données (Open Data) constitue-t-elle une opportunité de création de valeur économique et sociétale ?";"open data | valeur économique | valeur sociétale | transparence";"L'Open Data (mise à disposition gratuite et libre de droits de grandes bases de données publiques, comme les horaires de transport ou les données météorologiques) est une matière première. Sur le plan économique, des startups utilisent ces données pour créer des applications innovantes à forte valeur ajoutée (ex: Citymapper pour les trajets, applications agricoles d'optimisation des semis selon la météo). Sur le plan sociétal, l'Open Data améliore la transparence de l'action publique et permet aux citoyens d'être mieux informés et de collaborer, générant ainsi une intelligence collective à l'échelle de la nation.";"50"
"T3-01";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La performance";"1";"1";"Efficacité et efficience";"Général";"Différencier l'efficacité de l'efficience au sein d'une organisation.";"efficacité | efficience | ressources | objectifs";"L'efficacité est la capacité d'une organisation à atteindre l'objectif qu'elle s'est fixé (ex: produire 1000 voitures). L'efficience est la capacité à atteindre cet objectif en minimisant les ressources utilisées (ex: produire 1000 voitures en réduisant la consommation d'énergie et le temps de travail de 20%). L'efficience intègre donc la notion de coût et de rationalité.";"10"
"T3-02";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La création de valeur";"2";"1";"Valeur Ajoutée (VA)";"Général";"Qu'est-ce que la Valeur Ajoutée (VA) et comment la calcule-t-on de manière simplifiée ?";"valeur ajoutée | chiffre d'affaires | consommations intermédiaires | richesse";"La valeur ajoutée mesure la véritable richesse créée par l'activité de l'entreprise elle-même. Elle se calcule par la différence entre le Chiffre d'Affaires (CA) et les Consommations Intermédiaires (CI, biens et services détruits ou transformés pendant le processus). Formule : VA = CA - CI.";"10"
"T3-03";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La création de valeur";"3";"1";"Valeur perçue";"Général";"Définir la ""valeur perçue"" par le client.";"valeur perçue | image de marque | notoriété | prix psychologique";"C'est la valeur subjective qu'un client attribue à un produit ou un service. Elle repose sur l'image de marque, la notoriété, la qualité ressentie et les recommandations sociales. C'est le prix maximum que le client est psychologiquement prêt à payer, qui peut être très supérieur au coût de fabrication réel (ex: les produits de luxe ou les smartphones haut de gamme).";"10"
"T3-04";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La performance";"4";"1";"Bilan Social";"Général";"Qu'est-ce qu'un ""Bilan Social"" et quelle performance permet-il de mesurer ?";"bilan social | performance sociale | conditions de travail | RH";"Le bilan social est un document récapitulant les principales données chiffrées permettant d'apprécier la situation sociale d'une organisation (effectifs, rémunérations, accidents du travail, absentéisme, budget formation). Il permet de mesurer la performance sociale de l'entreprise vis-à-vis de ses salariés.";"10"
"T3-05";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La performance";"5";"1";"Performance globale";"Général";"Quelles sont les composantes de la ""Performance globale"" d'une organisation ?";"performance globale | financière | commerciale | sociale | environnementale";"Aujourd'hui, la performance ne se limite plus à la finance. La performance globale est un équilibre intégrant 4 dimensions : financière (rentabilité), commerciale (parts de marché), sociale (bien-être au travail) et environnementale (empreinte écologique réduite).";"10"
"T3-06";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La création de valeur";"6";"3";"Calcul de Création de Valeur et Répartition";"La boulangerie ""PainDoré"" a réalisé un Chiffre d'Affaires de 150 000 €. Pour cela, elle a acheté pour 40 000 € de farine, levure et électricité (Consommations Intermédiaires). Elle paie 50 000 € de salaires et charges, et verse 10 000 € d'impôts à l'État.";"Calculez : a) La Valeur Ajoutée (VA) créée. b) La part de la VA (en %) redistribuée aux salariés.";"valeur ajoutée | répartition | salariés | richesse";"a) Calcul de la Valeur Ajoutée (VA) : VA = CA - CI. VA = 150 000 - 40 000 = 110 000 €. La boulangerie a réellement créé 110 000 € de richesse.
b) Part redistribuée aux salariés : (Salaires versés / Valeur Ajoutée) x 100. (50 000 / 110 000) x 100 ~ 45,45%. Les salariés captent environ 45,5% de la richesse créée. L'État en capte ~ 9% (10 000/110 000).";"30"
"T3-07";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La performance";"7";"3";"Calcul de Part de Marché et Performance Commerciale";"Sur le marché local de la vente de vélos (estimé à 2 000 000 € de ventes totales), le magasin ""CycloPlus"" a réalisé un chiffre d'affaires de 500 000 €.";"Quel est son indicateur de performance commerciale principal ici ? Calculez-le.";"part de marché | chiffre d'affaires | concurrence | performance commerciale";"L'indicateur pertinent est la Part de Marché (en valeur). Formule : (CA de l'entreprise / CA total du marché) x 100. Calcul : (500 000 / 2 000 000) x 100 = 25%. ""CycloPlus"" détient 25% de part de marché, ce qui indique une très forte position concurrentielle sur son secteur.";"30"
"T3-08";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La création de valeur";"8";"3";"Marge et Rentabilité";"L'entreprise ""TechPhone"" fabrique un téléphone dont le coût total de revient est de 200 €. Elle décide de le vendre au prix de 800 € grâce à une image de marque exceptionnelle.";"Identifiez la source de création de valeur et déduisez-en la marge unitaire.";"valeur perçue | marge unitaire | profitabilité | prix";"La source de création de valeur repose entièrement sur la valeur perçue (image de marque, design, réputation) qui permet d'imposer un prix de vente très largement supérieur au coût de production. Marge unitaire = Prix de vente - Coût de revient = 800 - 200 = 600 € de marge brute par appareil, garantissant une immense performance financière (profitabilité).";"30"
"T3-09";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La performance";"9";"5";"Cas d'entreprise ""BioSaveurs""";"Cette coopérative agricole produit des jus de fruits 100% bio. Récemment, la direction a investi lourdement dans des bouteilles en verre recyclé et consignables, ainsi que dans des salaires 15% au-dessus du SMIC pour ses ouvriers. Cependant, ses coûts de production ayant explosé, ses bénéfices nets (résultat financier) ont chuté de 30% cette année, inquiétant les banques.";"À partir de ce cas, analysez comment les différentes dimensions de la performance peuvent être contradictoires.";"performance globale | contradiction | RSE | rentabilité | compromis";"Analyse des performances par dimension : ""BioSaveurs"" excelle dans deux domaines. Performance sociale : en payant bien au-dessus du SMIC, elle fidélise et motive ses salariés. Performance environnementale : l'usage du verre consigné réduit drastiquement son empreinte écologique.
La contradiction des performances : La recherche de l'efficience environnementale et sociale a un coût très élevé. L'achat de matériaux écologiques (verre vs plastique) et les hauts salaires augmentent les charges de l'entreprise. Conséquence : la marge se réduit et la performance financière s'effondre (-30% de bénéfices).
Conclusion : Ce cas illustre le conflit d'intérêt entre les acteurs (les salariés et ONG écologiques sont satisfaits, mais les financeurs/banques sont inquiets). L'entreprise doit impérativement trouver un équilibre, par exemple en augmentant son prix de vente (en misant sur la valeur perçue du ""produit éthique"" par le consommateur) pour restaurer sa rentabilité financière sans renier ses engagements responsables. La performance globale est un compromis permanent.";"50"
"T3-10";"premiere";"sciences de gestion";"Thème 3 : Création de valeur et performance";"La création de valeur";"10";"5";"Question de réflexion (Valeur actionnariale)";"Général";"Pourquoi la maximisation de la seule valeur actionnariale (les dividendes) peut-elle menacer la pérennité de l'organisation à long terme ?";"valeur actionnariale | dividendes | investissement | financiarisation | pérennité";"Si une entreprise répartit la quasi-totalité de sa valeur ajoutée sous forme de dividendes à ses actionnaires, elle s'appauvrit sur d'autres tableaux critiques. Elle ne conserve plus de marges d'autofinancement pour investir dans la Recherche & Développement ou le numérique, perdant sa compétitivité future. De plus, au niveau social, bloquer les salaires pour verser des dividendes génère de la frustration, des grèves et la fuite des talents (turnover). À terme, cette vision court-termiste (financiarisation) détruit la valeur partenariale et sociale, condamnant l'entreprise au déclin.";"50"
"T4-01";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le temps";"1";"1";"Temps et incertitude";"Général";"Expliquer pourquoi le facteur ""temps"" est source d'incertitude pour le gestionnaire.";"temps | incertitude | prévision | long terme";"Plus la décision porte sur un horizon temporel éloigné (le long terme, ex: construire une usine pour dans 5 ans), plus il est difficile de prévoir avec certitude l'évolution de l'environnement (comportement des concurrents, ruptures technologiques, crises économiques). L'avenir étant par nature imprévisible, le décalage temporel génère un risque systématique.";"10"
"T4-02";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"L'information et le risque";"2";"1";"Veille informationnelle";"Général";"Qu'est-ce qu'une ""veille informationnelle"" et à quoi sert-elle ?";"veille informationnelle | anticipation | menaces | opportunités";"La veille est un processus de surveillance continue, systématique et organisée de l'environnement de l'entreprise (concurrentiel, technologique, juridique). Elle sert à capter les signaux faibles afin d'anticiper les menaces (nouveau concurrent) et de saisir les opportunités avant les autres, réduisant ainsi le risque lié à l'ignorance ou à l'obsolescence.";"10"
"T4-03";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le risque";"3";"1";"Seuil de Rentabilité (SR)";"Général";"Définir la notion de Seuil de Rentabilité (SR) dans la gestion financière.";"seuil de rentabilité | chiffre d'affaires | charges fixes | rentabilité";"Le seuil de rentabilité est le niveau de Chiffre d'Affaires qu'une entreprise doit impérativement atteindre pour couvrir l'intégralité de ses charges (fixes et variables). À ce niveau exact, le résultat de l'entreprise est nul (ni bénéfice, ni perte). C'est un indicateur de risque fondamental.";"10"
"T4-04";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le risque";"4";"1";"Facteurs de risques";"Général";"Citer deux facteurs de risques externes et deux facteurs de risques internes pouvant frapper une organisation.";"risques externes | risques internes | aléas | vulnérabilité";"Externes : Rupture d'approvisionnement (crise géopolitique), rupture technologique (obsolescence subite du produit face à une innovation concurrente). Internes : Panne des machines (défaut de maintenance), grève du personnel (mauvais climat social).";"10"
"T4-05";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"L'information et le risque";"5";"1";"Asymétrie d'information";"Général";"Qu'est-ce que l'asymétrie d'information au sein d'une organisation ?";"asymétrie d'information | rétention | décision | communication";"L'asymétrie d'information intervient lorsqu'un acteur (ex: un manager de terrain) détient une information cruciale qu'il ne transmet pas à un autre acteur (ex: la direction générale). Cette rétention d'information (volontaire par pouvoir, ou involontaire par mauvaise communication) fausse la prise de décision globale qui se base alors sur des données erronées ou obsolètes.";"10"
"T4-06";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le risque";"6";"3";"Calcul du Seuil de Rentabilité";"La start-up ""EcoVelo"" fabrique des bicyclettes électriques. Ses Charges Fixes (CF) annuelles (loyers de l'usine, salaires administratifs, assurances) s'élèvent à 100 000 €. Le Prix de Vente (PV) unitaire d'un vélo est de 800 €. Le Coût Variable (CV) unitaire pour fabriquer un vélo (pièces, main d'œuvre de fabrication) est de 300 €.";"Calculez : a) La Marge sur Coût Variable unitaire (MSCV unitaire). b) Le Taux de Marge sur Coût Variable (TMSCV). c) Le Seuil de Rentabilité en valeur (en €). d) Le Seuil de Rentabilité en volume (nombre de vélos à vendre).";"MSCV | TMSCV | SR | seuil de rentabilité | volume";"a) MSCV unitaire : C'est la marge dégagée sur chaque vélo pour rembourser les charges fixes. MSCV = PV - CV. MSCV = 800 - 300 = 500 €. Chaque vélo vendu dégage 500 € nets.
b) TMSCV : C'est le pourcentage que représente la marge par rapport au prix de vente. (MSCV / PV) x 100. (500 / 800) x 100 = 62,5%.
c) Seuil de Rentabilité (SR) en valeur : Le CA à atteindre. Formule : CF / TMSCV. SR = 100 000 / 0,625 = 160 000 €. ""EcoVelo"" commencera à faire des bénéfices à partir de 160 000 € de chiffre d'affaires.
d) Seuil de Rentabilité en volume : Le nombre d'unités à vendre. Formule : CF / MSCV unitaire (ou SR en € / Prix unitaire). 100 000 / 500 = 200 vélos. Il faut vendre exactement 200 vélos pour ne pas faire de perte.";"30"
"T4-07";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le temps";"7";"3";"Lien entre Temps et Valeur Financière";"L'entreprise ""DecoPro"" a facturé des travaux pour 50 000 €. Le client ne paiera que dans 90 jours (délai de paiement). L'entreprise doit payer ses fournisseurs et ses salariés dès la fin du mois.";"Expliquez le risque généré par ce décalage temporel.";"risque d'illiquidité | trésorerie | besoin en fonds de roulement | décalage temporel";"C'est un risque d'illiquidité (ou de défaillance de trésorerie). Le décalage temporel entre les décaissements (immédiats) et les encaissements (retardés de 90 jours) crée un ""besoin en fonds de roulement"". Même si l'entreprise est rentable sur le papier (valeur), l'absence de liquidités au moment T peut la conduire à l'incapacité de payer ses dettes, la menant directement à la cessation de paiement (faillite).";"30"
"T4-08";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le risque";"8";"3";"Évaluation des risques et obsolescence";"Une chaîne de location de DVD refuse d'investir dans la diffusion en ligne (streaming), considérant que son activité physique est encore très rentable aujourd'hui.";"Qualifiez l'attitude de la direction face au risque technologique et les conséquences possibles à moyen terme.";"risque technologique | obsolescence | rupture technologique | déni";"La direction refuse de sortir de sa ""zone de confort"" et occulte le risque de rupture technologique. Elle prend des décisions basées sur la valeur d'une information passée/présente sans recourir à la prospective. La conséquence est fatale : l'obsolescence ultra-rapide de son modèle d'affaires, conduisant à la disparition de l'entreprise (ex: le cas historique de Blockbuster face à Netflix).";"30"
"T4-09";"premiere";"sciences de gestion";"Thème 4 : Temps et risque";"Le temps";"9";"5";"Cas d'entreprise ""SolarMove""";"L'entreprise fabrique des trottinettes solaires. Son cycle de production est très long (6 mois entre la conception et la vente). La directrice souhaite lancer une nouvelle gamme pour Noël, mais craint que la demande des consommateurs ait évolué entre-temps, ou que le fournisseur asiatique de batteries prenne du retard.";"À l'aide de vos connaissances, conseillez la dirigeante sur les outils de gestion du temps et des risques à mettre en place pour sécuriser son projet.";"gestion du temps | planification | gestion des risques | prospective";"Analyse des risques : Le long cycle de production génère deux risques temporels majeurs. Un risque externe commercial (évolution de la demande ou effet de mode qui passe) et un risque d'approvisionnement (dépendance technologique envers l'Asie et risque logistique). Rater la période de Noël (contrainte sectorielle saisonnière) serait une catastrophe financière.
Outils de gestion proposés :
1) Gestion du temps : La directrice doit impérativement utiliser un outil de planification (ex: un diagramme de Gantt ou un calendrier prévisionnel rétroactif) pour piloter l'enchaînement critique des tâches, intégrer des marges de manœuvre (jours de sécurité) et anticiper les retards logistiques.
2) Gestion des risques / Prospective : Pour le risque commercial, il faut instaurer une veille tendancielle et réaliser des études de marché en amont. Pour le risque fournisseur, l'entreprise doit sécuriser la chaîne (stratégie multi-fournisseurs pour réduire la dépendance, ou relocaliser une partie de l'assemblage).
3) Gestion financière : Élaborer un budget de trésorerie strict pour s'assurer que les 6 mois de dépenses sans rentrées d'argent pourront être supportés par l'entreprise.";"50"
